,processed_problem,processed_action
451,cylinder 3 external push rod tube seal leaking at case,repositioned seal leak persists disassembled replac
452,a/c needs to be run up checked for ferry flight,performed engine run up serviced tire pressures revie
453,2 rocker box cover gasket leaking,installed new rocker box cover gasket
454,4 intake leaking,removed replaced 4 intake gasket
455,4 cylinder intake gasket leaking,removed replaced intake gasket
456,pilot reported strong engine vibration during stop go whil,ran engine could not duplicate discrepancy engine ope
457,no rise during mixture check,adjusted idle mixture checks good
458,2 induction tube gasket leaking,removed replaced 2 intake gasket
459,2 rocker box cover gasket leaking,removed replaced 2 rocker cover gasket
460,4 intake leaking,removed replaced intake gasket
461,l/h baffle plug needs to be replaced,removed replaced baffle plug
462,2 intake gasket leaking,removed replaced intake gasket w/ new
463,r/h bottom baffle wire spring broken,removed replaced baffle wire spring w/ new
464,aft baffle bracket rivets sheared,replaced rivets on baffle bracket reinstalled bafflin
465,r/h engine 3 intake gasket leaking,replaced gasket
466,l/h engine 2 intake gasket leaking,removed replaced 2 intake gasket
467,3 baffle plug worn,removed replaced plug
468,1 4 rocker covers leaking,removed replaced 1 4 rocker gaskets
469,4 intake leaking,removed replaced 4 intake gasket
470,4 cylinder baffle cracked,stop drilled crack
471,2 cylinder exhaust push rod tube has small dent,installed push rod shroud using new seals
472,4 cylinder has low compression around 34 psi,tried staking valves still no compresion inspected cy
473,2 cylinder exhaust push rod tube has small dent,canned inspected serviceable push rodd shroud tube fr
474,1 intake leaking,removed replaced 1 intake gasket
475,induction tube hose clamps loose all cylinder,tightened hose clamps
476,1 3 rocker cover gaskets broken,removed replaced rocker cover gaskets
477,2 intake gasket leaking,removed replaced intake gasket cleaned leaks around
478,2 3 cylinder rocker cvoer gasket leaking,removed replaced rocker cover gasket cleaned leaks a
479,4 intake leaking,removed replaced gasket
480,all 4 rocker covers leaking,removed replaced gaskets
481,3 intake leaking,installed new intake gasket
482,induction tube hose clamps loose all cylinders,tightened hose clamps
483,2 rocker cover leaking,removed replaced 2 rocker cover gasket
484,l/h engine all intakes leaking,removed replaced gaskets
485,3 aft baffle tab has broken rivets near oil filler tube,leak check good
486,4 aft baffle attach plate broken,fabricated painted installed from like material th
487,3 aft baffle tab has broken rivets near oil filler tube,removed baffle replaced rivets reinstalled baffle l
488,2 rocker cover leaking,replaced rocker cover gasket
489,3 rocker cover leaking,replaced rocker cover gasket
490,2 intake leaking,removed replaced 2 intake gasket
491,r/h aft cowl bracket rivet missing,installed new rivet
492,3 4 rocker covers leaking,removed replaced rocker cover gaskets
493,1 3 4 intake gaskets leaking,replaced intake gaskets
494,intakes 1 2 3 4 leaking,removed replaced 1 4 intake gaskets
495,l/h forward engine baffle cracked,stop drilled crack
496,3 cylinder rocker cover gasket leaking,removed replaced rocker cover gasket
497,3 intake leaking,replaced gasket
498,induction tube hose clamps loose,tightened hose clamps
499,aft l/h engine baffle cracked,stop drilled crack
500,forward l/h engine baffle cracked,stop drilled crack
501,all 4 rocker cover gaskets leaking,replaced all 4 rocker cover gaskets
502,2 cylinder intake gasket leaking,removed replaced gasket
503,cylinder 4 intake gasket leaking,removed replaced cylinder 4 intake gasket
504,3 intake leaking,removed replaced 3 intake gasket
505,4 rocker cover gasket leaking,removed replaced rocker cover gasket
506,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
507,left engine 2 intake gasket leaks,removed replaced 2 intake gasket
508,2 3 rocker gaskets leaking,replaced gaskets
509,3 4 side baffle plugs have broken prongs,replaced plugs
510,1 2 4 rocker cover gaskets leaking,removed replaced 1 2 4 rocker cover gaskets
511,r/h engine 1 2 4 intake gaskets leaking,replaced all 3 gaskets
512,baffle spark plug caps worn out,installed new baffle caps
513,2 4 intake gaskets leaking causing cylinder head temperature exhaust gas temperature  variati,replaced 2 4 intake tubes flanges gaskets
514,3 rocker cover gasket torn,removed replaced rocker cover gasket
515,intakes 2 4 leaking,removed replaced intake gaskets
516,1 rocker cover leaking,removed replaced 1 rocker cover gasket
517,4 cylinder intake gasket leaking,removed replaced gasket
518,cylinder 4 rocker cover gasket leaking,removed replaced rocker cover gasket
519,intake pipe gasket leaking cylinder 2 3 4,removed replaced intake gaskets
520,oil cooler baffling cracked in lower i/b corner,fabricated patch from like material
521,r/h side of engine aft baffle cracked past stop drilled holes,fabricated patch from like material
522,started a/c normally battery still showing discharge incre,started engine performed run up all indications norm
523,3 cylinder oil return line leaking on rubber hose section,tightened clamps on rubber hose section
524,2 4 intake gasket leaking,removed replaced intake gaskets
525,1 2 3 cowl shock mounts torn,removed replaced cowl shock mounts
526,1 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
527,rocker box cover screws loose,retorqued screws
528,rocker box cover screws loose,retorqued screws
529,induction tube hose clamps loose all cylinder,tightened hose clamps
530,1 cylinder baffle cracked,fabricated patch from 032 of like material as baffle
531,scroll to pc flitter tube has excessive fretting under float,ordered line
532,scroll to pc flitter tube has excessive fretting under float,removed replaced line
533,4th stage nozzle has several cracks in it,prepped engine for installation reinstalled in a/c
534,4th stage nozzle has several cracks in it,removed engine from airframe disassembled engine iaw r
535,4th stage nozzle has several cracks in it,removed turbine assembly prepped loaner turb
536,4th stage nozzle has several cracks in it,connected engine iaw rolls royce maint manual performe
537,3 intake leaking,removed replaced intake gasket
538,cylinder 4 rocker cover gasket leaking,removed replaced rocker cover gasket
539,1 intake gasket leaks,very difficult to remove gasket installed new gasket
540,all rocker cover screws loose,tightened screws
541,2 intake gasket leaking,removed replaced intake gasket
542,2 cylinder missing on run up runs rough,cleaned gapped tested 2 cylinder spark plugs operational safety section check go
543,2 cylinder missing on run up runs rough,performed compression check on 2 cylinder 78/80 removed ro
544,2 cylinder missing on run up runs rough,inspected found 2 exhaust valve tight performed cle
545,2 cylinder missing on run up runs rough,ran operational safety section ok no roughness exhaust gas temperature  cylinder head temperature static rpm idl
546,2 intake gasket leaks,replaced gasket
547,baffle plug missing on engine,replaced plug
548,3 intake leaking on r/h engine,removed replaced intake gasket w/ new
549,1 2 intakes leaking on l/h engine,removed replaced 1 2 gaskets w/ new
550,1 3 rocker covers leaking on r/h engine,removed replaced 1 3 gaskets w/ new
551,2 induction tube gasket leaking,removed replaced intake gasket
552,rocker box cover screws loose all cylinders,retorqued rocker box cover screws
553,3 cylinder has no compression,run up leak check good
554,3 cylinder has no compression,found leak from ex valve ex valve contact on piston
555,3 cylinder has no compression,completed install of cylinder dry tappet clearance check
556,l/h engine o/b baffle rod broken,removed replaced baffle support rod
557,intakes 3 4 leaking on r/h engine,removed replaced intake gaskets w/ new
558,intakes 1 2 3 4 leaking on l/h engine,removed replaced intake tube gaskets
559,rocker covers 3 4 leaking on l/h engine,removed replaced rocker cover gaskets
560,rocker covers 2 4 leaking on r/h engine,removed replaced 2 4 rocker cover gaskets
561,4 intake leaking,removed replaced intake gasket cleaned leaks around
562,2 rocker cover leaking,removed replaced rocker cover gasket cleaned leaks a
563,3 intake leaking,removed replaced 3 intake gasket
564,cylinder 3 intake tube gasket leaking,removed replaced intake gasket
565,cylinder 1 oil return line chafing,removed replaced oil drain line
566,r/h engine oil fill tube loose,tightened resafetied filler tube
567,engine baffle plug tabs broken,installed new engine baffle plugs
568,4 intake gasket leaking,removed replaced 4 intake gasket
569,2 4 rocker cover gaskets leaking,removed replaced 2 4 gaskets
570,r/h engine 2 intake leaks,replaced gasket
571,l/h engine 2 intake leaks,removed replaced gasket
572,all rocker covers both engine screws loose,tightened all cover screws
573,1 2 4 intakes leaking,removed replaced intake gaskets
574,2 4 rocker covers leaking,removed replaced rocker cover gaskets
575,l/h rear engine baffle cracked,stop drilled crack
576,2 3 4 cylinder rocker cover gaskets leaking,removed replaced rocker cover gaskets cleaned leaks
577,4 cylinder rocker drain line clamp loose leaks noted,secured drain clamp tightening cleaned leaks in area
578,baffle bolt safeties loose on 1 3 cylinder,tightened screws resafetied
579,1 3 intake gaskets leaking,removed replaced intake gaskets
580,3 intake gasket leaking,removed replaced 3 intake gasket
581,4 rocker cover gasket leaking,removed replaced 4 rocker cover gasket
582,4 intake gasket leaking,removed replaced intake gasket w/ new
583,2 rocker cover gasket leaking,removed replaced rocker cover w/ new
584,1 front baffle cracked,stop drilled crack
585,all rocker covers have loose screws,tightened all screws
586,4 cylinder intake tube gasket leaking,removed replaced intake gasket
587,r/h engine 1 intake leaking,removed replaced gaskets
588,on l/h engine 2 3 4 intakes leaking,removed replaced gaskets
589,2 intake leaking,removed replaced 2 intake gasket
590,4 induction tube gasket leaking,removed replaced 4 induction tube gasket
591,all rocker cover screws loose,tightened all screws
592,at 5500 ft oat 7 executed engine failure in flight engine,removed replaced 2 intake gasket cked prop accumul
593,at 5500 ft oat 7 executed engine failure in flight engine,started warmed r/h engine operational safety section cked idle rpm magnetos check
594,induction tube hose clamps loose all cylinders,tightened hose clamps
595,2 intake gasket leaking,removed replaced 2 intake gasket
596,maintenance flight required for engine breakin prop rpm to check,ran a/c determined to be caused by cold oil c/w lycom
597,2 intake lube gasket leaking,removed replaced intake gasket cleaned area of leaks
598,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
599,4 intake gasket leaking,replaced gasket
600,3 rocker cover gasket leaking,replaced gasket
601,4 rocker cover gasket leaking,replaced gasket
